iter	Passed	Remaining
0	164	164664
1	167	83501
2	169	56225
3	170	42560
4	172	34353
5	174	28853
6	175	24959
7	177	21993
8	178	19705
9	180	17864
10	182	16378
11	183	15135
12	185	14086
13	186	13166
14	188	12374
15	190	11685
16	191	11072
17	192	10523
18	194	10027
19	196	9608
20	197	9209
21	199	8848
22	200	8518
23	201	8213
24	203	7935
25	204	7668
26	206	7433
27	207	7214
28	209	7006
29	211	6825
30	212	6653
31	214	6489
32	215	6327
33	217	6181
34	219	6043
35	220	5910
36	222	5787
37	224	5671
38	225	5567
39	227	5460
40	229	5360
41	230	5268
42	232	5176
43	234	5089
44	235	5007
45	237	4925
46	239	4848
47	240	4773
48	242	4698
49	243	4632
50	245	4565
51	246	4499
52	248	4440
53	249	4377
54	251	4318
55	253	4266
56	254	4214
57	256	4164
58	257	4111
59	259	4063
60	260	4017
61	262	3971
62	263	3926
63	265	3883
64	267	3841
65	268	3803
66	270	3763
67	271	3715
68	272	3678
69	274	3644
70	275	3610
71	277	3576
72	279	3544
73	280	3511
74	282	3487
75	284	3458
76	285	3427
77	287	3397
78	288	3368
79	290	3338
80	291	3310
81	293	3281
82	294	3256
83	296	3230
84	297	3200
85	298	3177
86	300	3148
87	301	3126
88	303	3104
89	304	3081
90	306	3059
91	307	3036
92	309	3016
93	310	2995
94	312	2975
95	313	2955
96	315	2935
97	317	2917
98	318	2897
99	319	2879
100	321	2861
101	322	2837
102	323	2819
103	325	2802
104	327	2788
105	328	2773
106	330	2759
107	332	2743
108	334	2730
109	335	2718
110	337	2703
111	339	2689
112	340	2675
113	342	2660
114	343	2646
115	345	2630
116	346	2616
117	348	2602
118	349	2587
119	350	2573
120	352	2560
121	353	2547
122	354	2529
123	356	2516
124	357	2503
125	359	2491
126	360	2479
127	361	2463
128	363	2451
129	364	2439
130	365	2427
131	367	2415
132	368	2405
133	370	2393
134	371	2382
135	373	2372
136	374	2361
137	376	2350
138	377	2339
139	379	2328
140	380	2319
141	382	2308
142	383	2299
143	385	2289
144	386	2279
145	388	2270
146	389	2260
147	391	2251
148	392	2242
149	394	2233
150	395	2224
151	396	2214
152	398	2206
153	400	2197
154	401	2188
155	402	2180
156	404	2171
157	405	2163
158	407	2154
159	408	2146
160	410	2138
161	411	2129
162	413	2122
163	414	2115
164	416	2108
165	418	2101
166	419	2093
167	421	2085
168	422	2078
169	424	2071
170	426	2065
171	427	2057
172	428	2050
173	430	2043
174	431	2036
175	433	2030
176	435	2023
177	436	2016
178	438	2010
179	439	2003
180	440	1993
181	442	1987
182	443	1980
183	445	1973
184	446	1967
185	448	1960
186	449	1955
187	451	1948
188	452	1942
189	454	1938
190	456	1933
191	458	1928
192	459	1922
193	461	1917
194	462	1911
195	464	1905
196	465	1899
197	467	1893
198	468	1887
199	470	1881
200	472	1876
201	473	1870
202	475	1865
203	476	1859
204	478	1854
205	479	1848
206	481	1842
207	482	1838
